,company,name,color,type,ratings,people_review,offer_price,real_price,offer_percent
519,Nexbird,B11 Neckband Truly Wireless Bluetooth 5.0 Headp...,Red, In the Ear,3.9,805,285,1899,84
520,Portronics,Harmonics 250 Fast Charging with 60Hrs Playt...,Black, In the Ear,4,257,899,2999,70
521,KDM,A-2 sport 59 hour Bluetooth Headset,Black, In the Ear,4.1,111172,862,1900,54
522,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,3.3,42,999,5499,81
523,Casa,Tech Long Hrs Playtime with Quick Charge in Ear Bl...,Red, In the Ear,4,2057,499,1000,50
524,Cellecor,NK3 Wireless Waterproof Neckband with 25 Hrs p...,Dark Black, In the Ear,4.2,1135,696,2999,76
525,DEFY,GravityU with 35 Hours Playback and Beast Mode Blu...,Stellar Black, In the Ear,3.7,8896,899,1999,55
526,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,4.2,45985,546,1999,72
527,realme,Buds Air 3 with Fast Charge & Active Noise Cance...,Galaxy White, True Wireless,4,6818,3799,5999,36
528,Tunifi,TN01 TWS Earbuds Upto 48Hrs. Playback with Power...,Black, True Wireless,3.7,147072,499,7999,93
529,Noise,"Beads with 18hrs of playtime, HyperSync, IPX5 and...",Pearl White, True Wireless,3.8,70531,1199,3499,65
530,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",White, True Wireless,3.7,147072,899,5999,85
531,Mivi,DuoPods F60 ENC with 50+ Hrs Playtime| Made in Ind...,White, True Wireless,4,3,999,2999,66
532,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",Blue, True Wireless,4.2,14276,899,5999,85
533,Varni,CAP10 Flexible with Upto 16Hours Playtime Bluetoo...,Black, In the Ear,3.7,1227,599,1999,70
534,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4,11051,1299,4999,74
535,CARRON,CH-271 Pull-Fire - 48 Hour Playtime Bluetooth He...,Blue, In the Ear,4,20048,499,1999,75
536,FPX,Jazz 35 Hours Playtime with Deep Bass Neckband Head...,Red, In the Ear,3.6,21,399,2499,84
537,Aroma,NB119 Champion - 50 Hours Playtime Fast Charging ...,Green, In the Ear,3.2,10,569,2999,81
538,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Black, In the Ear,3.7,3,699,1999,65
539,Makzee,"MAGIC2626 WATERPROOF, TurboBass, D-Pairing, Ligh...",GOLD-BLACK, In the Ear,4.2,124994,351,999,64
540,Syska,PACE X1 Bluetooth Headset,Royal Blue, In the Ear,3.8,109649,699,2299,69
541,D1Y3,IN 75 HOURS BETETRY BACKUP HIGH BASS STORNG LONG B...,Multicolor, In the Ear,3.6,26,1529,5999,74
542,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Ash Grey, In the Ear,3.4,68,899,2490,63
543,Mivi,DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,Mint Green, True Wireless,3.9,72798,899,2999,70
544,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Midnight Blue, True Wireless,4,1345614,999,2990,66
545,boAt,"Airdopes Atom 83 with 50Hrs Playback, Quad Mics EN...",Ivory White, True Wireless,4,10668,1499,4490,66
546,ZWOLLEX,High Bass Neck Band with Mic and Noise Cancella...,Black, True Wireless,3.7,6379,440,1499,70
547,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,4,6,799,2599,69
548,LUTENET,Original i12 true wireless headset earbuds with...,Black, In the Ear,3.9,18685,339,999,66
549,boAt,Airdopes 411ANC with upto 17.5 Hours Playback and ...,Black Storm, True Wireless,4,10315,1699,4990,65
550,Wings,"Phantom 550 Earbuds with Low latency Game mode, 4...",Black, True Wireless,4.2,14276,1299,2999,56
551,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.1,532,1299,4999,74
552,Mytrack,"Neckband Low latency , Microphone incoming call...",Teal Green, In the Ear,4,5821,449,2995,85
553,Aroma,NB119_Boom - 72 Hours Playtime Bluetooth Headset,Black, In the Ear,4,23,594,2999,80
554,CIHROX,"Bluetooth Neckband 12Hrs Playback, 10mm Drivers,...",Black, In the Ear,4,49704,499,1899,73
555,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,3.8,1801,799,4499,82
556,Ucool,Beast 100 Hours Playtime Bluetooth Wireless Neckb...,Black, In the Ear,3.9,10565,649,2999,78
557,Ubon,CL-122 Neckband Bluetooth Headset,Pink, In the Ear,3.7,3,599,1999,70
558,D1Y3,IN 75 HOURS BETETRY BACKUP HIGH BASS STORNG LONG B...,Multicolor, In the Ear,4.1,111172,1529,5999,74
559,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.5,22,999,5499,81
560,U&i,Melody 48Hrs Battery Backup Bluetooth Neckband with...,Red, In the Ear,4.3,4,399,2199,81
561,HUTUVI,i7s Bluetooth Headphone Twins Wireless Buds (set...,White, In the Ear,3.5,1819,399,1999,80
562,TECHFIRE,i7s Tws Mini Earphone Bluetooth Headset,White, True Wireless,3.6,6182,399,1999,80
563,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,4,51798,546,1999,72
564,Wings,Phantom Wireless Earbuds with 50ms Low Latency Ga...,White, True Wireless,3.8,1442,1199,4999,76
565,GREE,"MATT B11 Bluetooth Headset (Red, In the Ear) Bluet...",Red, In the Ear,4.1,19628,391,699,44
566,DEFY,"GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",White Purity, In the Ear,3.8,47151,1099,2699,59
567,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,4,43163,1099,7999,86
568,Mivi,"DuoPods F70 ENC with Quad Mic, 50+ Hrs Playtime| M...",Black, True Wireless,4.2,2022,1099,2999,63
569,ORAIMO,"Necklace 4 Fast Charge, 50hr PlayTime, Super Bas...",Black, In the Ear,4.2,14276,1299,3499,62
570,Zusix,Elite 90 with 18 Hours Music Time In-Ear Wireless...,Light Blue, In the Ear,3.7,3,643,1599,59
571,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,3.7,1227,1299,4999,74
572,Nexbird,B11 Neckband Truly Wireless Bluetooth 5.0 Headp...,Black, In the Ear,4.1,511,293,1899,84
573,FPX,Jazz 35 Hours Playtime with Deep Bass Neckband Head...,Red, In the Ear,3.7,8896,399,2499,84
574,Portronics,Harmonics Z2 - 30 Hours Playtime Wireless Ne...,Blue, In the Ear,3.9,485,649,1999,67
575,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.9,16582,546,1999,72
576,ROKAVO,Silver neckband wireless headphone headset earph...,Silver  Black  Blue  Multicolor, In the Ear,3.8,6259,745,2199,66
577,Ucool,Prime 60 Hours Playtime Bluetooth Wireless Neckba...,Blue, In the Ear,4.1,2992,449,1999,77
578,truke,"Air Buds with Quad Mic ENC & 20 EQ modes, 10mm Dr...",Black, True Wireless,4.1,13,999,3299,69
579,Mivi,"DuoPods K7 Metallic Finish,AI ENC,50H Playtime,Low...",Galaxy Black, In the Ear,3.3,490,1299,4999,74
580,Rudra,Tech M10 TWS Bluetooth Earbuds Wireless Earbuds B...,Black, In the Ear,3.6,1023,494,2699,81
581,NP,SERIES TWS-I12 Twins Bluetooth Wireless Headset with...,White, True Wireless,3.8,47151,496,2499,80
582,Mivi,"DuoPods K7 Metallic Finish,AI ENC,50H Playtime,Low...",Coral, In the Ear,4.1,2992,1299,4999,74
583,Wings,"Phantom 550 Earbuds with Low latency Game mode, 4...",White, True Wireless,4,10315,1299,2999,56
584,Raman,Sales M19 / M90 / M10 / Bluetooth 5.0 Wireless Ea...,Black, In the Ear,4,24,599,2299,73
585,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,546,1999,72
586,Mivi,"DuoPods K1 compact earbuds,AI-ENC,TWS with 42H Pla...",Brisk Blue, In the Ear,4.1,710,999,4999,80
587,JAIBALLY,i12 TWS Wireless Bluetooth Earbuds Long Lastin...,White, True Wireless,2.7,3,379,1299,70
588,UPOZA,B235 Upto 25 Hours Playbak with ASAP Charge Bluet...,Black, In the Ear,4.6,17,499,3999,87
589,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4,20048,699,1999,65
590,IZWI,Behind The Neck Bluetooth Neckband with V5.2 Flexi...,Black, In the Ear,4,60812,499,2490,79
591,REDMI,SonicBass Wireless Bluetooth Neckband in-Ear Earp...,Red, In the Ear,3.8,24353,1299,1599,18
592,Mivi,Collar 2A with Fast Charging Bluetooth Headset,Grey, In the Ear,4.1,111172,899,2999,70
593,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4,30,999,5499,81
594,ROKAVO,Travel wrieless earbuds headphone neckband long ...,Green, In the Ear,3.7,367,749,2199,65
595,ULTADOR,"Audio ProBass YCharge with Fast Charging , Pro+...",Red, In the Ear,3.8,598,510,1199,57
596,Aroma,NB120 Last 36 Hours Playtime Bluetooth Neckband E...,Black, In the Ear,3.7,3128,348,1499,76
597,Aroma,NB137 Nexon 16 Hours* Playtime Deep Bass True Wir...,White  Silver, True Wireless,3.5,82,499,1499,66
598,Malhotra,enterprises Air Tune (Buds) True Wireless Blue...,Assorted, True Wireless,3.8,15087,1399,4490,68
599,boAt,"Airdopes 100 with 50 Hours Playback, Quad Mics ENx...",Sapphire Blue, In the Ear,3.4,833,593,4999,88
600,deamflum,Earbuds M90 PRO with Power Bank & ASAP Charge ...,Black, True Wireless,4.2,14276,1299,4999,74
601,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.8,4,427,1296,67
602,Mestie,i12 tws earpods Bluetooth Headset 91 Bluetooth H...,White, True Wireless,4.1,2992,1299,4999,74
603,Mivi,"DuoPods K7 Metallic Finish,AI ENC,50H Playtime,Low...",Mint Green, In the Ear,4,20048,599,2670,77
604,snowbudy,Gaming pro Earbuds Upto 32 Hrs Playtime With 2...,Black BOX BATTERY BACKUP 48 HR, True Wireless,4,25909,699,1999,65
605,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Black, In the Ear,3.8,760,799,2999,73
606,Mivi,Collar Classic Pro TWS Neckband with 72 Hours of P...,Grey, In the Ear,3.5,4,479,3850,87
607,TECHFIRE,F-700 40 Hours Playtime Bluetooth Wireless Nec...,Red, In the Ear,3.7,8896,529,1599,66
608,ROKAVO,Hot Selling Sport Earphone Magnetic Good Quality...,Gree  Purple, In the Ear,3.5,6986,546,1999,72
609,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,4.1,511,1699,2790,39
610,SONY,WI-C100 with 25 Hours Battery Life Bluetooth Heads...,Black, In the Ear,3.8,40120,649,1999,67
611,Portronics,Harmonics Z2 - 30 Hours Playtime Wireless Ne...,Sky Blue, In the Ear,3.7,147072,799,3999,80
612,Boult,"Audio Escape with Zen Tech ENC mic, BoomX Tech fo...",Black, In the Ear,3.9,60,899,5999,85
613,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",White, True Wireless,5,3,749,2499,70
614,Portronics,Harmonics Z4 Wireless Stereo Neckband Blueto...,Black, In the Ear,3.9,28219,499,999,50
615,MR,ROBOT K1 Wireless Bluetoth Single Ear Headset Earbud...,Black, True Wireless,4.2,124994,899,2499,64
616,truke,"Buds F1 with 38H Playtime, ENC, Instant Pairing, ...",Blue, True Wireless,3.8,1442,899,2490,63
617,boAt,Rockerz 235 Pro with upto 20 Hours Playback & ASAP...,Ash Grey, In the Ear,4.4,1269,391,699,44
618,GREE,"MATT B11 Bluetooth Headset (Red, In the Ear) Bluet...",Red, In the Ear,3.7,76,9999,12999,23
619,Nothing,"Ear (2) with Dual chamber sound, Hi-res audio, ...",White, True Wireless,4.2,308,499,1499,66
620,Boult,"Audio X45 with Quad Mic ENC, 40H Playtime, 45ms U...",Black, True Wireless,4,10964,1099,4999,78
621,boAt,Airdopes 131 Iron Man Edition with 15 Hours Playti...,Iron Blood, True Wireless,4,1345614,1499,2990,49
622,truke,"Buds A1 with 30dB ANC, Quad Mic ENC, 48H Playtime...",Blue, True Wireless,4.4,389,1299,3999,67
623,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,14276,1299,4999,74
624,VEKIN,bluetooth with microphone for calling and music B...,Blue, True Wireless,3.8,572,494,1999,75
625,Callmate,BassFit Pro (30 hours Backup) Wireless Neckban...,Black, In the Ear,3.5,72,616,1999,69
626,TECHFIRE,N95- Hours Playtime with superior sound Neckba...,Black, In the Ear,3.6,5193,329,1999,83
627,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4,49704,799,4499,82
628,ROKAVO,Girls Purple neckband wireless headphone headset...,Purple  Multicolor  Green, In the Ear,3.6,59,525,1599,67
629,TECHFIRE,F-700 40 Hours Playtime Bluetooth Wireless Nec...,Teal green, In the Ear,3.8,760,479,4850,90
630,TECHFIRE,F-255 neckband bluetooth headphone with Fast C...,Black, In the Ear,3.6,573,449,3850,88
631,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,111172,999,5499,81
632,Hitage,NBT-2319 Grand Series stylish and comfortable Le...,Grey, In the Ear,3.7,131,949,1999,52
633,KDM,G2 Power Bluetooth Headset,Black, In the Ear,4,99,829,1999,58
634,ISYSGO,New Arrival waterproof bluetooth 5.1 earbuds tws...,Black, In the Ear,3.8,5,498,1999,75
635,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.6,6182,546,1999,72
636,DigiClues,Premium N-21 Earbuds/TWs/buds 5.1 Earbuds wit...,Black, True Wireless,3.8,50,899,7999,88
637,HOPPUP,"AirDoze D50 Earbuds with upto 50H Playtime, ENC,...",White, True Wireless,3.9,3478,799,2999,73
638,boAt,"Airdopes 192 with Beast Mode(40ms), 30 Hours Playb...",Black Sabre, True Wireless,4,4882,1899,3599,47
639,PTron,"Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",Black, True Wireless,3.7,6379,799,2599,69
640,OPPO,Enco Air 2 Pro Bluetooth Headset,White, True Wireless,4.2,9625,3499,4999,30
641,boAt,Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,Crimson Cream, True Wireless,4,1345614,1199,2990,59
642,NKL,H.EAR 2 Neckband Wireless Bluetooth Super Sound Wit...,Black, In the Ear,3.7,8896,629,1999,68
643,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,4,2144,546,1999,72
644,Aroma,NB119 King 100 Hours Playting Time Fast Charging ...,Pink, In the Ear,3.8,1801,599,3299,81
645,Ucool,Beast 100 Hours Playtime Bluetooth Wireless Neckb...,Blue, In the Ear,3.7,13,649,2999,78
646,Buy,Genuine Good Sound Quality Wireless Bluetooth Earph...,White, In the Ear,3.8,47151,499,999,50
647,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.7,43,1099,7999,86
648,IZWI,MI-271 Latest Headphones Neckband Music Time Batte...,Red, In the Ear,4.1,4890,449,1499,70
649,Ubon,Wireless Neckband CL-50 with Longlasting 30H Playt...,Black, True Wireless,3.9,2058,735,2999,75
650,U&i,Leather Series 100hours Music Time Bluetooth Headse...,Red1, In the Ear,4.2,14276,799,2999,73
651,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,3.9,28219,1299,4999,74
652,truke,"Buds F1 with 38H Playtime, ENC, Instant Pairing, ...",Blue, True Wireless,3.9,72798,899,2499,64
653,HOPPUP,GRAND With Power Bank Function & Upto 75 Hours P...,Blue, True Wireless,3.6,783,599,2999,80
654,PHILIPS,TAT2206BK True Wireless (TWS Earbuds) with IPX4...,Black, True Wireless,3.8,47151,1449,6999,79
655,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,4.1,8979,1099,7999,86
656,Wings,"Phantom 850 Earbuds with Game mode, 50 hrsPlaytim...",Black, In the Ear,3.8,109649,1499,2999,50
657,Mivi,DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,Mint Green, True Wireless,3.7,306,899,2999,70
658,Tunifi,Earbuds F9 with Power-Bank Bluetooth Headset,Black, True Wireless,4.1,327645,499,4999,90
659,Tunifi,"Mafia T12 TWS Earbuds Upto 48Hrs. Playback, with...",Black, True Wireless,3.9,60877,499,7999,93
660,truke,"Fit1+ with 36H of Playtime, Gaming Mode, 10mm Dri...",Black, True Wireless,3.6,6182,799,2799,71
661,Petronics,Z11 Bluetooth Headset,Black, True Wireless,3.8,10586,699,4999,86
662,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.7,8896,546,1999,72
663,Ucool,Soul 100 Hours Playtime Bluetooth Wireless Neckba...,Teal Green  Black, In the Ear,3.9,9693,599,2499,76
664,TEQIR,"Bluetooth Wireless in Ear Earphones,48 Hours Batt...",Grey, In the Ear,3.8,3411,449,2490,81
665,Kabeer,enterprises H-700 Bluetooth Headset,Grey, In the Ear,3.7,3128,499,1499,66
666,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.9,10565,546,1999,72
667,Noise,"Tune Active Pro with upto 60hrs playtime, ESR, In...",Burgundy Red, In the Ear,3.9,3478,1099,2999,63
668,Xenio,BT90 Wireless Neckband With Qcharge upto 30H Play...,Black, In the Ear,4,125,707,1899,62
669,TECHFIRE,Solo X2 36 Hours Play Time With Vibration On C...,Green, True Wireless,4.2,308,415,1999,79
670,Aroma,NB137 Nexon 16 Hours* Playtime Deep Bass True Wir...,White  Silver, True Wireless,3.8,109649,499,1499,66
671,Ubon,CL-122 Neckband Bluetooth Headset,Pink, In the Ear,4.1,19628,599,1999,70
672,HOPPUP,"AirDoze D50 Earbuds with upto 50H Playtime, ENC,...",White, True Wireless,4.1,327645,799,2999,73
673,Digiwins,"Gaming Pro P30 with ENC HD+ Calling, Deep Bass...",Black, True Wireless,3.8,141,999,7999,87
674,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Cobalt Blue, True Wireless,4.5,99,1399,3999,65
675,Mivi,DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,White, True Wireless,3.9,72798,899,2999,70
676,DEFY,"GravityZ with upto 50 Hours Playback, 4 Mic ENC, 1...",White Purity, In the Ear,4,1670,1099,2699,59
677,GENTLEMOB,Latest Earbuds/Tws/xpods/buds M19 True wirele...,Support Iphone/Android phone 10hrs playtime Black colour, True Wireless,4,99,589,1999,70
678,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,3.6,573,1099,2490,55
679,DIGIBUDS,L-21 Smart TWS With Charging Case HD Sound Tec...,Black, True Wireless,3.9,188519,549,2499,78
680,MOOZMOB,PRO Edition Neckband B11 Bluetooth Earphone wit...,Black, In the Ear,3.6,136,549,999,45
681,GOVO,"GOKIXX 952 Bluetooth Neckband, 106H Battery-Fast C...",Gun Metal Grey, In the Ear,4.3,6,1399,4999,72
682,HOPPUP,GRAND With Power Bank Function & Upto 75 Hours P...,Black, True Wireless,3.7,8896,599,2999,80
683,Sulfur,Vibration & 45 Hours Backup Elite-2 Wireless Spo...,Black1, True Wireless,3.2,21,498,2499,80
684,KDM,G2 Power Bluetooth Headset,Black, In the Ear,4,51798,829,1999,58
685,TECHFIRE,F-255 neckband bluetooth headphone with Fast C...,Black, In the Ear,4.2,9625,449,3850,88
686,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Grey, In the Ear,3.9,188519,445,3850,88
687,SONY,WI-C310 Wireless In-Ear Headphones with Mic Blueto...,Blue, In the Ear,3.8,50,3290,2199,67
688,NKL,H700 Wireless Bluetooth Neckband with Mic Bluetooth...,Green, In the Ear,3.7,39568,719,999,40
689,FLIXWISE,"TWS Earbuds Full Touch Control, HD Audio 24Hrs...",White, True Wireless,4,5800,599,1999,72
690,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,3.7,3072,546,3999,85
691,Jeevan,jyoti agency M19 Earbuds/TWS/buds 5.1 Earbuds wi...,Black, True Wireless,4.3,1367,671,1199,44
692,truke,"Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...",Yellow, True Wireless,4.1,25,1499,3499,57
693,Longway,Evoke 355 with Fast Charge and upto 45 Hours Pl...,Black, In the Ear,3.6,6182,429,1290,66
694,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,3.7,8896,546,1999,72
695,UBeesize,H700 Platinum Series Neckband BASS Bluetooth H...,Black, In the Ear,4.1,532,399,1499,73
696,Zohlo,Bluetooth Neckband with Mic Stereo Sound Compatib...,Black, In the Ear,4,2779,429,800,46
697,blue,seed BBD-B17 Portable Headset Hand Free Call with ...,Multicolor, In the Ear,4.2,308,930,1999,53
698,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.8,109649,546,1999,72
699,D1Y3,"B-14, ProBass Fcharge with 35 hrs Playtime, Fast C...",Multicolor  Silver, In the Ear,3.9,4974,1439,4999,71
700,Mytrack,"MT0507 Neckband Low latency Quick Charging, Mic...",Black, In the Ear,4.2,1135,449,2995,85
701,Aroma,"NB119 Queen 100 Hours Playtime, EQ modes, Fast Ch...",Black, In the Ear,4.1,327645,689,3299,79
702,Mivi,"DuoPods K5 TWS Earbuds Metallic Finish, HD calling...",Cobalt Blue, True Wireless,3.9,21,1399,3999,65
703,Mivi,DuoPods F40 with 50 Hrs Playtime I13mm Drivers|Mad...,White, True Wireless,4,12482,899,2999,70
704,Wings,"Phantom 105 Earbuds with Game Mode, ENC, 40 Hours...",Black, True Wireless,3.9,188519,1799,3599,50
705,DEFY,GravityU with 35 Hours Playback and Beast Mode Blu...,Celestial Cyan, In the Ear,3.2,10,899,1999,55
706,boAt,"Airdopes 161 with ASAP Charge, 10mm Drivers and 17...",Pebble Black, True Wireless,3.8,808,1099,2490,55
707,Xezbi,Earbuds M10 Air-Pro Wireless Earphone Touch Contr...,Black, True Wireless,3.9,188519,549,3899,85
708,Wings,"X-Fire with 25 Hrs playtime Bluetooth5.3, 50ms lo...",Black, True Wireless,4.1,1616,1599,7999,93
709,Tunifi,TN01 TWS Earbuds Upto 48Hrs. Playback with Power...,Black, True Wireless,4.1,43,499,3850,88
710,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless headphone...,Red, In the Ear,4,11051,449,2299,69
711,Syska,PACE X1 Bluetooth Headset,Elegant Black, In the Ear,3.7,8896,699,2999,69
712,Ubon,"Khiladi Series CL-3990 Upto 30 hours Playtime ,Typ...",Grey, In the Ear,3.9,194790,919,3850,88
713,MOQ,MQ655BLACK Bluetooth Headset,Black, In the Ear,3.7,448,445,2999,81
714,TECHFIRE,Fire 500v2 Neckband hi-bass Wireless Bluetooth...,Grey, In the Ear,3.7,39568,564,3990,64
715,Aroma,NB119 Hero - 50 Hours Playtime Bluetooth Neckband...,Black, In the Ear,3.8,2551,1424,2999,81
716,DUDAO,Expendable One click Retractable Single Ear Bluet...,Black, In the Ear,3.7,1060,564,1999,72
717,Aroma,NB119 Champion - 50 Hours Playtime Bluetooth Neck...,Black, In the Ear,3.4,5917,546,2499,72
718,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,White, True Wireless,3.8,141,699,3499,74
719,Mivi,Collar Classic Neckband with Fast Charging Bluetoo...,Red, In the Ear,3.9,188519,899,3499,57
720,Aroma,NB132 Construct 48 Hours PlayTime True Wireless E...,White, True Wireless,4.3,6,1499,3850,89
721,Noise,"Buds VS202 with 24 Hours Playtime, Instacharge, H...",Charcoal Black, True Wireless,3.3,1435,399,7999,90
722,TECHFIRE,Fire-T10 -48 Hours Playing Time Fast Charging ...,OCEAN  Blue, In the Ear,3.9,16582,759,699,66
723,Digiwins,BTH F9 Pro Earbuds Upto 300Hrs Playtime With 2...,Black, True Wireless,4.7,81,235,2499,78
724,JBL,"Tune 230NC TWS, Active Noise Cancellation, 40Hr Pla...",Black, True Wireless,4,5696,5999,7999,25
725,MASOORI,L21 Wireless 5.0 TWS Earphones Earbuds Stereo I...,Black, True Wireless,3.3,6,499,1599,68
726,CIHLEX,CX-1004 Classical Bluetooth Neckband Headphone E...,Black, In the Ear,3.7,3128,749,1999,62
727,Aroma,NB137 Nexon 16 Hours* Playtime Deep Bass True Wir...,White  Silver, True Wireless,3.6,4211,499,1499,66
728,TECHFIRE,H700 Hi-Res Wireless in Ear Headphone Black Bl...,Black, In the Ear,3.9,527,494,1299,61
729,KDM,A2 50H MUSIC TIME HEADPHONE Bluetooth Headset,Multicolor, In the Ear,3.6,6182,999,2999,66
730,blue,seed BBD-B17 Portable Headset Hand Free Call with ...,Multicolor, In the Ear,3.9,194790,930,1999,53
731,Aroma,NB140 Captain 24 Hours* Playtime | Deep Bass | Ma...,Dark Blue, True Wireless,4,4882,546,1999,72
732,Worricow,Hot Sale IPX7 Waterproof headphone with callin...,Green, In the Ear,4,20048,549,999,45
733,Mivi,Collar Classic Neckband with Fast Charging Bluetoo...,Red, In the Ear,3.4,229,699,2499,72
734,boAt,"Airdopes 192 with Beast Mode(40ms), 30 Hours Playb...",Black Sabre, True Wireless,3.8,103,1899,3599,47
735,Boult,"Audio YCharge with Pro+ Calling Mic, Full Charge ...",Blue, In the Ear,4.3,1367,699,1999,65
736,GAGANDEEP,TWS i12 Bluetooth Wireless Earphone Touch Sen...,Multicolor, True Wireless,4.1,111172,499,2999,83
737,JVMART,M10 TWS EarBuds Touch Control Bluetooth Headset,Black, True Wireless,3.5,6737,499,2999,83
738,truke,"Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...",Yellow, True Wireless,3.7,8896,1499,3499,57
739,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,3.6,5193,999,5499,81
740,snowbudy,7PRO TWS Earbuds Movie Mode 48Hrs Total Playti...,Black, True Wireless,3.9,1495,852,4490,81
741,Rudra,Tech M19 / M90 / M10 / T2TWS Bluetooth 5.0 Wirele...,Black, In the Ear,3.7,147072,628,2499,74
742,Oxhox,Wireless compatible with 4G redmi Bluetooth Heads...,Red  Black, True Wireless,4.3,3,249,999,75
743,Aroma,NB140 Evolve 24 Hours* Playtime | Deep Bass | Mad...,Black, True Wireless,3.9,142,546,1999,72
744,TECHFIRE,N95- Hours Playtime with superior sound Neckba...,Black, In the Ear,4.2,14276,329,1999,83
745,Matlek,16 Hours Music Neckband Earphone Bluetooth Wirel...,Red, In the Ear,3.7,187,399,990,59
746,CARRON,CH-160 Avatar - 48 Hour Playtime Bluetooth Headp...,Green, In the Ear,3.7,1060,426,1999,78
747,Boult,"Audio Gearpods with 32H Playtime, Fast Charging, ...",White, True Wireless,3.8,7725,899,5999,85
748,HASTAGG,SB 2001 Long Life Battery Bluetooth Headphone E...,Green, In the Ear,4,20048,599,1999,70
749,GAGANDEEP,Magnet Bluetooth Headset for all Smart phones...,Black, In the Ear,4,69158,399,1699,76
750,Portronics,Harmonics X1 Sports Bluetooth Headset,Green, In the Ear,4,51798,899,1999,55
751,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,3.9,1993,1299,4999,74
