,company,name,color,type,ratings,people_review,offer_price,real_price,offer_percent
350,TECHFIRE,M-31 Pro Neckband Wireless Bluetooth Headphone...,Green, In the Ear,3.9,6671,449,3850,88
351,Aroma,NB119 Rock - 40 Hours Playtime Bluetooth Neckband...,Blue, In the Ear,3.9,26422,597,2999,80
352,FUR,JADEN AirJams GenZ TWS Earbuds 24 Hour Battery HD M...,Black, True Wireless,4.7,81,699,2000,65
353,boAt,Rockerz 333 Pro with 60 Hours Battery Bluetooth He...,Cherry Black, In the Ear,4.2,42691,1799,2990,39
354,TECHFIRE,Live 1000 Neckband wireless headphones with 36...,Black, In the Ear,3.8,2324,499,3850,87
355,Mivi,"Collar D25 Earphones with fast charge, 24Hours pla...",Blue, In the Ear,4,30198,699,2999,76
356,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",White, In the Ear,4.2,14276,1299,4999,74
357,U&i,Pro 50Hrs Battery Backup Bluetooth Neckband with Ma...,Blue, In the Ear,3.6,13,499,3199,84
358,Boltune,BT-335 Neckband hi-bass Wireless Bluetooth head...,Black, In the Ear,3.8,19277,449,3850,88
359,Boult,"Audio X45 with Quad Mic ENC, 40H Playtime, 45ms U...",Green, True Wireless,4,10964,1099,4999,78
360,Boult,"Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",Blue, In the Ear,4,49704,799,4499,82
361,PTron,"Basspods P481, 60Hrs Playtime, Deep Bass, ENC Ste...",Black, In the Ear,4,7783,799,3199,75
362,Xezbi,(True buds) Wireless headphone Bluetooth earphone...,White, True Wireless,3.7,502,485,1699,71
363,FPX,Jazz 80 Hours Playtime with Deep Bass Neckband Head...,Green, In the Ear,4,51,379,1499,74
364,Boult,"Audio AirBass Y1 TWS Earbuds, 40H Playtime, Fast ...",Black, True Wireless,4.1,111172,999,5499,81
365,Ggkart,K1 BLACK Bluetooth Headset Bluetooth Headset,Black, In the Ear,3.6,374,250,1199,79
366,Mivi,"DuoPods K1 compact earbuds,AI-ENC,TWS with 42H Pla...",Bold Black, In the Ear,4.1,710,999,2999,66
367,blue,"seed BBD Neckband Crystal Clear Sound,Vibration Al...",Black, In the Ear,4,10,349,399,12
368,Boult,"Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...",Blue, In the Ear,4.2,14276,1299,4999,74
369,ORAIMO,"Necklace 4 Fast Charge, 50hr PlayTime, Super Bas...",Blue  Green, In the Ear,4.2,2022,1299,3499,62
370,Aroma,NB128 Happy 24 Hours Playting Time Deep Bass Made...,Black  Black, In the Ear,3.7,178,314,1499,79
371,Aroma,NB119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Blue, In the Ear,4,11877,421,2499,83
372,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Red, True Wireless,3.8,47151,1099,7999,86
373,KIMTOK,Bluetooth Wireless Earphone Waterproof Headphone...,Black, In the Ear,3.8,2412,449,1099,59
374,U&i,Massive 80Hrs Battery Backup Bluetooth Neckband wit...,Silver, In the Ear,4.5,39,599,2999,80
375,U&i,Massive 80Hrs Battery Backup Bluetooth Neckband wit...,Blue, In the Ear,4.5,39,599,2999,80
376,Boult,"Audio Truebuds with 30H Battery, IPX7 Waterproof,...",Grey, True Wireless,3.8,47151,1099,7999,86
